,score,content
30,5,The Form App is exceptional! Easy to use and incredible partner for these great goggles
31,5,Easy to learn and use. Useful information. Not overly complicated.
32,4,overall very user- friendly. however witnessed one glitch in my few days of using.
33,5,I was not sure what to expect but Form is fantastic! The data is very clear and easy to interpret. When I realised that it synchronized with Strava and Garmin Connect I was 100% sold
34,5,Easy to get set up and way more data available than I realized there would be. Love swimming with these googles and the app makes it super easy to sync and read results.
35,4,"Out of the box, 2 hours later and still can't get past the Bio page. However, the company DID respond to my cry for help and worked on their end to fix the problem. I did not have to troubleshoot with them or get on a call. Thanks for helping me so quickly."
36,5,"Great app & product, only thing i'd add is a real time lap timer. Right now theres only an overall timer, and timer for the lap you just completed, but seeing it in real time would be very beneficial."
37,3,"Does this not yet have an auto shutdown feature while in swimming mode. However, customer service was very friendly and responsive and promised to fix this. Will change review to 5 stars once fixed."
38,4,Great app. Super happy. How to make it better : Need to drill down within an interval to view each lap. Need to correct the app if style mislabeled. Need to tell the app if I'm using hand or foot palms
39,4,It's a great app. Very intuitive and stable. I only wish I can zoom in into the timeline and see particular time periods more granular
40,1,"Not much is working in this new update. Edit: All seems to work as long as I agree to let the App access my location. Please fix, I don't want to provide my location. Thanks"
41,5,"I dont know what I was doing this long without my FORM goggles. They're great. Splits,stoke count type total.meters swam. Wow all swimmers from beginnrs to world class should have a pair. Thanks for the great product. Norther Alberta Canada."
42,1,I cannot turn the goggles on to pair it. There is no screen. Tried to hard reset did not work battery is full. Tried to upgrade the goggles .after 5 hours still not done. Bluetooth and internet on. HELP ME PLEASE !!!!!!!!
43,5,I was so excited to finally get my pair! Having the ability to check my pace distance during my swim is absolutely amazing! (Especially during an open water swim) I am very much looking forward to see what else FORM has planned 🤗
44,5,It's great to just concentrate on technique and listen to my music and not count laps. Hopefully can save some money and get heart rate monitor.
45,2,"Constantly over calculates swim distance. Did 1200 meters and form said I did 1,975 meters. Wish there is a way to configure pool length by pushing a button."
46,5,Work like a charm and sync with the goggle seamlessly. Swim results presented in a well organized form. Love it!
47,5,Amazing! One of the best ways to know how much your doing and the calorie you have lost and with the split times after every length.
48,5,Initially I had trouble getting the app to sync with Strava but the developer was quite responsive and fixed it relatively quickly.
49,1,"Unable to update the newly bought Goggles, kept trying over and over with different troubleshooting and nothing worked. Probably got a defective set"
50,5,Great app to go along with my Form goggles. Bluetooth setup was so easy and everything is working flawlessly. Kudos to the team!
51,5,"Great app, easy to use with great custom options. I am really enjoying the goggles I think they are going to be a great tool in improving my performance."
52,5,"Incredible. It helped me design a swimfit program for myself that reversed my pre-diabetic state, and lost 20kg (sorry only metric 🤣) as a result. My swims are now relaxing and pure joy knowing exactly how many calories im burning. Ps, and Form, THANKS FOR THE SWIM CAPS 🇨🇦💗"
53,5,The greatest advantage is seeing the swimming stats and heart rates during swimmining. Pace and heart-rate measurements are more accurate than most other devices.
54,5,"Excellent app that accurately keeps track of my distance, strokes, and intensity."
55,5,The goggles are amazing. The app is pretty see less in terms of integration with the goggles. No complaints here.
56,1,Unable to cancel subscription
57,5,Form goggles really move you to the next level. Clear precise instructions. They have thought of everything.
58,5,"I have over 260 swim miles on my goggles. They remind me when I ""lose focus"" during a longer swim and start slowing down. In an open water swim along a beach, I can swim a 'half mile' turn around and swim a 'half mile' back, walk out of the ocean and my towel is right there. I don't swim without my FORM goggles."
59,5,A very neat piece of technology for swimming. Looking forward to the open water update.
60,5,"Obviously this app is only useful if you have the goggles, which are great! If you don't have the goggles then it would be of zero value"
61,5,A great companion app
62,5,What an amazing piece of equipment designed to improve your swimming. Once you use it you'll never want to train with out it
63,5,Formswim goggles are the best way of monitoring my swim training. The live heart rate helps me pace. Custom workouts boost my motivation.
64,5,Great app. I like the format of a workout analysis screen. Even before got the goggles preferred analysis of Garmin swim data in this app compared to Garmin app.
65,2,This app has used up 1.44GB yes GB in 2 days? I streamed a whole soccer game and it didn't even come close to this apps usage. Why it uses this my data is beyond me!
66,3,"Android requires a Bluetooth passkey to pair, the app does not over ride this therefore the goggles cannot be paired."
67,5,It would be cool to be able to compare your performance on the same workout over time. Or just analyze your progress over time.
68,5,"Amazing stats, goals and shows areas to improve. 100 % recommended!"
69,5,This is a great app paired with the goggles. I definitely pushed myself harder w/ the pair.
70,5,"Great insight to the details, however the real win is the dynamic feedback whilst swimming, happy dayz!!"
71,5,Great analysis of my swims and the goggles are just brilliant. I feel like a swimming borg lol.
72,5,Excellent information. Very easy to use. Logical setup.
73,5,"After only a few days of using the goggles and the app, I am loving the amount of data that I'm getting. Now I just need to speed up."
74,1,"I cant create a profile there, i dont understand validation message. Weak efforts from UX and development team"
75,1,"Tried to download the app multiple times, but it won't connect, just says pending."
76,5,I enjoy swimming more because I can focus on listening to books to pass the time instead of trying to remember my lap number
77,5,A great training tool. Finally feedback during the swim.
78,5,"I am impressed how well it keeps the laps count in the pool. I'm still new to it, I'll update this review later on."
79,5,Works perfectly and has all the apropiate data with pretty cool visualizations.
80,3,"Cannot download. Took 2+ hours and 6 attempts but now its downloaded thank you. Does the $35 ex delivery charge cover the inport duty into Colombia also, please?"
81,5,"Essential for data nerds!! Easy to use and the workouts make my ""swimming"" make sense"
82,5,Accurate on lengths and time. Interesting to see the breakdowns as well
83,5,Amazing experience between the goggle and the app. Very highly recommended!
84,1,"I get many ptoblem when try to connect with device , iget message "" you can not optimized on your device"""
85,4,Great app sync does take a couple of tries before it takes though.
86,5,"Fantastic training aid ... coach, mentor, educator, judge, jury & hangman!! Fantastic tool to have in the toolbox."
87,5,"I gave 5 star just to keep the team motivated for the start, and I am just testing the app without the googles yet. I wanna switch from my Polar watch to this google, but where is the HeartRate zone/graph section...? I wanna buy this with HR only."
88,5,Great. Like to monitor rest time between repetitions.
89,5,It's a great swim tool and great for doing solo workouts.
90,5,"Love love love. I refuse to swim without my Form Swim Goggles. Workouts and stats, oh my!"
91,5,Great...had an issue connecting Garmin opened a ticket got it fixed in no time!
92,5,It would be great to personalize the length of the pool in the next update because my condo pool is less than 25 metres.
93,5,"Clear vision, easy to follow cues, great training plans"
94,5,Great Sports Tech. Waiting for the Open Water capability.
95,5,"Excellent goggles, what a great device. I would highly recommend."
96,5,unable to update the new googles first but it works after many trials and it is very good
97,5,"What a great product, changed my swimming completely!"
98,4,"Works really well with the form goggles, which are great"
99,5,"Amazing Google !! Definitely a must have for swimming lovers for training, weightloss you name it !"
100,4,It helps identify my weaknesses and strengths in order to make intelligent decisions about my training
101,3,"Would be 5 star, only.problrm that's a pain for me is that pool swims don't sync to Garmin account so you don't keep all your workouts in one place"
102,5,Great app with lots of workouts to choose from
103,5,Amazing swim now that I have these goggles. I just recieved about a week ago been in pool everyday. Looking forward to tomorrow swim.
