,review,rating,thumbs_up_count,review_version,date,app_version,platform,title
0,"The app is fine. Billing is weird. Form tried to bill me using Google Pay, which is fine. BUT the name was a person not ""FORM,"" so I suspected fraud and stopped the transaction thru my credit card. Once I verified that it was FORM, i have been in anightmare secnario with goole pay and Form. There is no way to renew the subscription once it expires. No tabs or buttons or icons in Google pay or the form app to re-subscribe so I can get workouts. Looking forward to hearing a solution so I don't have to switch to another product.",3,1,2.0.5,2021-10-02 07:00:19,2.0.5,GooglePlayStore,
1,"This is a great product and app. As someone who still wants to swim daily but doesn't have time for a team, this is the next best thing to having a coach standing next to you in the pool (just without all the yelling). I'm amazed with the goggles motion awareness and accuracy (my watches will often +/- a leangth randomly). My only suggestion would be to have personalized workout programs available much like other swimming apps. Looking forward to the next (slimmer) version of the goggles!",5,5,2.2.2,2022-01-06 06:52:12,2.2.2,GooglePlayStore,
2,Really great app and goggles. I wish it could time out the display until I get close to a turn so I don't have to always see the numbers when zen and speeding through the water! UPDATED: Thank you for the reply. Leaving the question because it shows how easy this was to do once I found this customization area and how awesome this makes the device! Thank you for making a great product!!!,5,2,1.4.0,2020-01-29 14:09:52,1.4.0,GooglePlayStore,
3,"In general, it works well. Keeps track of workout and is easy to read. My one gripe is the way the workout builder is set up. You can't do repeat intervals, only rest intervals. You can't set rest times below 10 seconds, so no 25s w/ 5s rest. They've limited the interval distances available. You can't do 225s or 350s if you wanted. Most annoyingly, you can't do a 1650 even though that is the short course yard competition equivalent of the 1500m.",4,0,2.12.1,2023-04-27 13:23:23,2.12.1,GooglePlayStore,
4,"I originally purchased a pair 12/2019. Despite some early issues the goggles performed flawlessly afterwards. They are a major motivator to swim regularly and stimulate me to better my times. While competitive swimmers are probably all familiar with Form's goggles, I highly recommend them for casual swimmers like me who, at 60, is staying healthy by taking swimming up again after 45 years. Fantastic service, great product.",5,2,2.12.1,2023-04-19 20:23:27,2.12.1,GooglePlayStore,
5,Nice clean ans simple app interface. So far I had 4 sessions and I love it. It is very helpful to see running clock vs specific metrics in goggles. Would be nice to have ability to change metrics in the pool. So far I learned how to set metrics on the phone and synch before a pool session.,4,0,1.4.0,2020-01-30 09:43:08,1.4.0,GooglePlayStore,
6,"The goggles have given me more focus and direction to work on specific elements of training. Real-time feedback on times and heart rates (with polar OH1+ sensor on goggle strap) is great. The ability to easily build your own sessions in the app and transfer them to the goggles is fantastic, and the process is surprisingly straightforward. Definitely a fan!",5,0,3.3.0,2023-12-05 21:38:05,3.3.0,GooglePlayStore,
7,"Update: The so continues to improve. The import from TP is excellent. Upgrading to 5* Suggestion: Link up with Magic 5 and get them to produce compatible eye cups/seals. Would be awesome. So far so good. Used the goggles and app for a week. It's been very good. Will come back and give an update after I have used it longer. Could be improved if workouts were CSS based, but I guess I'll get over that small issue.",5,0,3.1.0,2023-10-29 03:00:00,3.1.0,GooglePlayStore,
8,FORM smart goggles are the coolest thing I've bought for a long time! I rediscovered my interest in swimming with them. The app is also amazing although I don't think it has much value without the goggles.,5,0,3.3.1,2023-12-11 20:21:30,3.3.1,GooglePlayStore,
9,"The app just works, syncing the swim from my goggles and uploading to Strava seamlessly. I couldn't ask for more. Update: They removed the ""premium membership expired"" messages from the goggle firmware in their latest update, so I'm reinstating a 5-star review for listening to user feedback.",5,0,3.0.1,2023-09-23 08:12:26,3.0.1,GooglePlayStore,
10,"The most recent update doesn't allow me to view lap times within intervals. I can only view the total time for the interval or lap time for every single lap, not traced to intervals.",2,0,3.2.2,2023-11-07 20:02:40,3.2.2,GooglePlayStore,
11,"Best swim goggles ever. If you want to understand your swim technique and how to improve it, these goggles are unbeatable.",5,0,3.3.0,2023-12-01 00:52:53,3.3.0,GooglePlayStore,
12,"Super product, I have been using this for 4 months, not going back to traditional goggles. Just empowering to see it all",5,1,3.2.3,2023-11-27 20:39:26,3.2.3,GooglePlayStore,
13,Love these goggles and app! Have been using them for 2 years and it has made a huge difference in my training as well as motivation.,5,0,3.2.1,2023-11-04 08:03:14,3.2.1,GooglePlayStore,
14,Still figuring it out the app. Love that I can see my time and laps real time visually my goggles instead of having to stop to see it on a wrist device.,4,0,3.2.3,2023-11-13 03:58:08,3.2.3,GooglePlayStore,
15,"when I open videos on the coaching tab the app crashes:( Ive restarted my phone, cleared cache and uninstalled/reinstalled the app without success",1,0,3.2.3,2023-11-19 01:33:16,3.2.3,GooglePlayStore,
16,"I've had to knock some points off unfortunately. In general, the app is good and the Strava integration is great, but I have to reboot my phone (Pixel 3, Android 11) every single time to sync, which is a pain. Also, it constantly misregisters my strokes as 'mixed' rather than crawl – also a pain. There's still no way to see the current clock time in any of the dashboards (actual time, not minutes swam), which would be really useful for swimmers fitting in a session before work or in a lunch break.",3,2,2.0.4,2021-09-07 23:23:49,2.0.4,GooglePlayStore,
17,"Everything is working fine. The goggles are really good and the App is also very straightforward and easy to use. One feature that would be great to see is to have the option to sync your own structured workouts from other platforms like TrainingPeaks, and do them on the goggles! I'm sure that would be a feature many swimmers and Triathletes would love to see since many Athletes follow a personalised Plan. Thank you for the great Product. I'm Looking forward to seeing more features.",5,0,2.1.2,2021-11-27 05:25:40,2.1.2,GooglePlayStore,
18,"I love the goggles and the app! Spectacular! But why does the app need an internet connection to refresh the results? It should be done locally via Bluetooth. (In the same context, I didn't appreciate receiving a marketing email saying ""now that you've used the goggles a couple of times""... How do you know that? Who else has access to my data and where did I consent to that?) Could we also expect some further integrations in the future? (e.g. Google Fit?)",4,2,1.7.2,2020-11-26 20:55:52,1.7.2,GooglePlayStore,
