,review,rating,thumbs_up_count,review_version,date,app_version,platform,title
19,"The FORM app and goggles itself are of superb quality and I'm a very happy triathlete because of it. They have been fundamental to my training Why two stars then? While, that's all because I feel FORM is changing the rules of the game while we are playing. They have introduced guided workouts (great!) but decided to put it behind a subscription. I disagree with this decision but even worse - the price is completely ridiculous. 19 EUR by month? Really? I seriously thought this was a mistake..",2,3,1.10.0,2021-08-25 06:16:01,1.10.0,GooglePlayStore,
20,Simple for looking to swim and monitor efficiency. Haven't tried workouts from them yet.,5,0,2.14.0,2023-07-28 03:44:06,2.14.0,GooglePlayStore,
21,"Amazing goggles and app, definitely helped me improve my swim times by a lot. Also, since they are kinda pricey (well worth) they are expensive enough to be an extra incentive to swim, cause besides swimming these goggles wont be used anywhere else! Def try em out if you like to swim and want to improve your timing!",5,0,1.3.0,2019-12-05 12:41:54,1.3.0,GooglePlayStore,
22,"Generally good and clear but I frequently have to restart my android phone to synch, and now I'm not able to watch the video tutorials anymore which is a big problem (no idea why, it just says ""we can't open this file type""). If everything worked as expected would be a 5 stars",3,0,2.9.2,2023-01-29 06:32:33,2.9.2,GooglePlayStore,
23,"Australian customer. When first opening the app and trying to create an account I can't get past the create bio page. Same error regardless of method of registration (Facebook, Gmail, email) ""something went wrong"". Goggles are useless without the app as can't update software. Expensive and disappointing. Don't bother if you don't live in the US.",1,4,1.7.2,2020-12-25 20:12:27,1.7.2,GooglePlayStore,
24,Best bit of swim kit I have had for ages.,5,0,3.2.3,2023-11-26 00:25:11,3.2.3,GooglePlayStore,
25,"Game changer!!! This is amazing! As a lifelong competitive swimmer I wish I had found this 20 years ago. It gives your pace per lap, you have a pace clock in your vision. It is easy to operate, easy to see and the actual goggle itself is watertight and comfortable. I absolutely love it!",5,2,1.10.0,2021-07-14 19:26:27,1.10.0,GooglePlayStore,
26,"Form are the best tech for swimming. This is the most complete app for swimming I believe.. love it. Very easy to use, very clean design and a lot of metrics.. almost every thing you.can immagine is there...",5,1,1.8.0,2021-01-28 02:20:24,1.8.0,GooglePlayStore,
27,"I rated a 5. However, the ""swim screen"" should really have a stopwatch counter that resets each turn (even for 25m). Without the polar heart rate monitor, there is little I find useful to display on that ""swim screen"" that couldn't already be displayed on the ""turn screen""",5,0,1.9.0,2021-04-11 13:30:16,1.9.0,GooglePlayStore,
28,Not very good. The unit buttons were defective and so I couldn't save my first swim with it. Returned it and waiting for a refund. Quality control is essential for a device like this. Lacking here. Really disappointed.,1,3,1.0.1,2019-09-04 10:54:25,1.0.1,GooglePlayStore,
29,Loving these goggles. I use them for both open water and training with my club. If using for open water I suggest pairing with a garmin watch to get more tracking details but the pool information logged and tracked is amazing. It pushes me harder and keeps my stroke count and pace consistent when I need it.,5,1,2.5.3,2022-06-24 02:03:58,2.5.3,GooglePlayStore,
30,I love being able to concentrate on my swim stroke rather than keeping count of my laps. I have found it to be very accurate and like being able to sync it to my phone and review all my swims.,5,0,1.7.1,2020-11-07 08:38:52,1.7.1,GooglePlayStore,
31,"Been using this app with the goggles for several months now and it's amazing! I have trouble keeping count of my laps, so having a device that helps keep track as well as give me my pace, makes all the difference.",5,0,2.4.1,2022-05-12 01:27:19,2.4.1,GooglePlayStore,
32,"Works great with the swim goggles! The redesign is excellent. Make sure you enable gps/location services before pairing though, because the app doesn't prompt you.",5,0,2.7.1,2022-08-31 01:25:04,2.7.1,GooglePlayStore,
33,"$200 lap counter. After 5 sessions in a 25m pool, I realize these googles are almost worthless. First and foremost: they do NOT ACCURATELY COUNT FREESTYLE STROKES. I mean way way off. I typically hit 16-17 strokes per length, these things will count towards of 40. So much for your SWOLF score. Also, you cannot add more than 150m of drills if you have a 25m pool selected. After getting in touch with support, they admit both these issues are known and 'keep an eye out for an update'. Return",1,0,1.4.0,2020-01-13 04:28:56,1.4.0,GooglePlayStore,
34,"Does this not yet have an auto shutdown feature while in swimming mode. However, customer service was very friendly and responsive and promised to fix this. Will change review to 5 stars once fixed.",3,0,1.2.1,2019-11-09 01:29:03,1.2.1,GooglePlayStore,
35,Easy to get set up and way more data available than I realized there would be. Love swimming with these googles and the app makes it super easy to sync and read results.,5,2,1.8.0,2021-02-14 07:45:56,1.8.0,GooglePlayStore,
36,"Great app & product, only thing i'd add is a real time lap timer. Right now theres only an overall timer, and timer for the lap you just completed, but seeing it in real time would be very beneficial.",5,2,1.6.4,2020-08-11 01:46:33,1.6.4,GooglePlayStore,
37,I was not sure what to expect but Form is fantastic! The data is very clear and easy to interpret. When I realised that it synchronized with Strava and Garmin Connect I was 100% sold,5,1,1.4.0,2020-01-03 08:38:26,1.4.0,GooglePlayStore,
38,"Out of the box, 2 hours later and still can't get past the Bio page. However, the company DID respond to my cry for help and worked on their end to fix the problem. I did not have to troubleshoot with them or get on a call. Thanks for helping me so quickly.",4,2,1.10.0,2021-06-01 07:46:12,1.10.0,GooglePlayStore,
39,"Goggles themselves rock. App sucks. Need a way to edit swim length for laps the goggles don't pick up. Also, need a way to choose content to view in app: I care nothing about""following"" others, yet that's the default.",1,0,1.4.0,2019-12-17 00:42:05,1.4.0,GooglePlayStore,
40,Great app. Super happy. How to make it better : Need to drill down within an interval to view each lap. Need to correct the app if style mislabeled. Need to tell the app if I'm using hand or foot palms,4,0,1.3.0,2019-12-01 09:38:08,1.3.0,GooglePlayStore,
41,Ive had this for a week so far. Ive had zero issues. Im really enjoying my goggles and all the data they collect. The app is easy to navigate and there is a lot of info to look through.,5,0,1.9.0,2021-04-15 09:56:10,1.9.0,GooglePlayStore,
42,Easy to learn and use. Useful information. Not overly complicated.,5,0,2.14.0,2023-07-24 18:00:12,2.14.0,GooglePlayStore,
43,overall very user- friendly. however witnessed one glitch in my few days of using.,4,0,2.14.0,2023-07-30 01:17:40,2.14.0,GooglePlayStore,
44,Far more accurate than I would have thought Great for knowing what I need to hold to make interval with rest,5,0,2.14.0,2023-08-20 10:47:13,2.14.0,GooglePlayStore,
45,It's a great app. Very intuitive and stable. I only wish I can zoom in into the timeline and see particular time periods more granular,4,1,2.0.5,2021-09-29 09:00:54,2.0.5,GooglePlayStore,
46,"Not much is working in this new update. Edit: All seems to work as long as I agree to let the App access my location. Please fix, I don't want to provide my location. Thanks",1,2,2.5.0,2022-05-28 01:41:02,2.5.0,GooglePlayStore,
47,I cannot turn the goggles on to pair it. There is no screen. Tried to hard reset did not work battery is full. Tried to upgrade the goggles .after 5 hours still not done. Bluetooth and internet on. HELP ME PLEASE !!!!!!!!,1,0,1.7.2,2021-01-19 03:15:34,1.7.2,GooglePlayStore,
48,"I dont know what I was doing this long without my FORM goggles. They're great. Splits,stoke count type total.meters swam. Wow all swimmers from beginnrs to world class should have a pair. Thanks for the great product. Norther Alberta Canada.",5,0,1.3.0,2019-11-28 23:06:08,1.3.0,GooglePlayStore,
49,"Constantly over calculates swim distance. Did 1200 meters and form said I did 1,975 meters. Wish there is a way to configure pool length by pushing a button.",2,0,2.0.5,2021-10-12 04:57:05,2.0.5,GooglePlayStore,
50,Work like a charm and sync with the goggle seamlessly. Swim results presented in a well organized form. Love it!,5,0,1.4.0,2019-12-18 08:48:57,1.4.0,GooglePlayStore,
51,It's great to just concentrate on technique and listen to my music and not count laps. Hopefully can save some money and get heart rate monitor.,5,4,1.8.0,2021-02-08 08:25:08,1.8.0,GooglePlayStore,
52,I was so excited to finally get my pair! Having the ability to check my pace distance during my swim is absolutely amazing! (Especially during an open water swim) I am very much looking forward to see what else FORM has planned 🤗,5,0,,2020-11-17 02:10:52,,GooglePlayStore,
53,Amazing! One of the best ways to know how much your doing and the calorie you have lost and with the split times after every length.,5,0,1.4.0,2020-01-02 17:29:18,1.4.0,GooglePlayStore,
54,Initially I had trouble getting the app to sync with Strava but the developer was quite responsive and fixed it relatively quickly.,5,1,2.4.1,2022-05-10 11:47:11,2.4.1,GooglePlayStore,
55,"Unable to update the newly bought Goggles, kept trying over and over with different troubleshooting and nothing worked. Probably got a defective set",1,1,1.2.1,2019-11-01 21:20:44,1.2.1,GooglePlayStore,
56,Great app to go along with my Form goggles. Bluetooth setup was so easy and everything is working flawlessly. Kudos to the team!,5,1,1.4.0,2020-01-04 05:23:50,1.4.0,GooglePlayStore,
57,"Great app, easy to use with great custom options. I am really enjoying the goggles I think they are going to be a great tool in improving my performance.",5,2,1.10.0,2021-05-15 00:55:15,1.10.0,GooglePlayStore,
58,"Incredible. It helped me design a swimfit program for myself that reversed my pre-diabetic state, and lost 20kg (sorry only metric 🤣) as a result. My swims are now relaxing and pure joy knowing exactly how many calories im burning. Ps, and Form, THANKS FOR THE SWIM CAPS 🇨🇦💗",5,0,2.2.0,2021-12-09 02:49:22,2.2.0,GooglePlayStore,
59,The greatest advantage is seeing the swimming stats and heart rates during swimmining. Pace and heart-rate measurements are more accurate than most other devices.,5,2,1.7.0,2020-10-01 06:58:46,1.7.0,GooglePlayStore,
60,"I have over 260 swim miles on my goggles. They remind me when I ""lose focus"" during a longer swim and start slowing down. In an open water swim along a beach, I can swim a 'half mile' turn around and swim a 'half mile' back, walk out of the ocean and my towel is right there. I don't swim without my FORM goggles.",5,0,2.2.0,2021-12-08 04:38:41,2.2.0,GooglePlayStore,
61,"Excellent app that accurately keeps track of my distance, strokes, and intensity.",5,0,2.9.1,2023-01-06 23:25:22,2.9.1,GooglePlayStore,
62,A very neat piece of technology for swimming. Looking forward to the open water update.,5,1,1.5.1,2020-07-07 02:57:45,1.5.1,GooglePlayStore,
63,The goggles are amazing. The app is pretty see less in terms of integration with the goggles. No complaints here.,5,1,1.4.0,2020-01-18 01:24:57,1.4.0,GooglePlayStore,
64,Form goggles really move you to the next level. Clear precise instructions. They have thought of everything.,5,0,,2023-03-01 21:24:09,,GooglePlayStore,
65,"Android requires a Bluetooth passkey to pair, the app does not over ride this therefore the goggles cannot be paired.",3,1,1.10.0,2021-07-04 06:12:22,1.10.0,GooglePlayStore,
66,Great app. I like the format of a workout analysis screen. Even before got the goggles preferred analysis of Garmin swim data in this app compared to Garmin app.,5,0,1.7.1,2020-11-05 06:27:59,1.7.1,GooglePlayStore,
67,This app has used up 1.44GB yes GB in 2 days? I streamed a whole soccer game and it didn't even come close to this apps usage. Why it uses this my data is beyond me!,2,0,2.12.1,2023-05-03 08:58:30,2.12.1,GooglePlayStore,
68,Formswim goggles are the best way of monitoring my swim training. The live heart rate helps me pace. Custom workouts boost my motivation.,5,0,2.12.1,2023-04-22 01:13:45,2.12.1,GooglePlayStore,
69,"Obviously this app is only useful if you have the goggles, which are great! If you don't have the goggles then it would be of zero value",5,1,1.6.4,2020-08-21 20:57:57,1.6.4,GooglePlayStore,
70,What an amazing piece of equipment designed to improve your swimming. Once you use it you'll never want to train with out it,5,0,2.11.2,2023-03-26 03:55:20,2.11.2,GooglePlayStore,
71,"Amazing stats, goals and shows areas to improve. 100 % recommended!",5,0,1.7.2,2020-12-30 03:36:34,1.7.2,GooglePlayStore,
72,A great companion app,5,0,3.1.0,2023-10-24 16:15:15,3.1.0,GooglePlayStore,
73,It would be cool to be able to compare your performance on the same workout over time. Or just analyze your progress over time.,5,0,2.1.2,2021-11-18 12:10:02,2.1.2,GooglePlayStore,
74,Unable to cancel subscription,1,0,2.14.0,2023-08-18 01:49:07,2.14.0,GooglePlayStore,
75,This is a great app paired with the goggles. I definitely pushed myself harder w/ the pair.,5,0,2.7.1,2022-09-14 02:14:57,2.7.1,GooglePlayStore,
76,"After only a few days of using the goggles and the app, I am loving the amount of data that I'm getting. Now I just need to speed up.",5,0,2.9.1,2022-12-11 18:48:41,2.9.1,GooglePlayStore,
77,Great analysis of my swims and the goggles are just brilliant. I feel like a swimming borg lol.,5,0,2.4.1,2022-05-04 01:32:24,2.4.1,GooglePlayStore,
78,"Great insight to the details, however the real win is the dynamic feedback whilst swimming, happy dayz!!",5,0,2.9.2,2023-03-05 02:31:03,2.9.2,GooglePlayStore,
79,Excellent information. Very easy to use. Logical setup.,5,0,1.9.0,2021-04-24 14:46:51,1.9.0,GooglePlayStore,
80,"I cant create a profile there, i dont understand validation message. Weak efforts from UX and development team",1,0,1.10.0,2021-08-16 02:41:20,1.10.0,GooglePlayStore,
81,Works perfectly and has all the apropiate data with pretty cool visualizations.,5,2,1.4.1,2020-02-20 14:47:54,1.4.1,GooglePlayStore,
82,A great training tool. Finally feedback during the swim.,5,0,1.4.0,2020-01-07 07:10:50,1.4.0,GooglePlayStore,
83,"I am impressed how well it keeps the laps count in the pool. I'm still new to it, I'll update this review later on.",5,0,2.9.1,2022-12-13 10:31:44,2.9.1,GooglePlayStore,
84,The Form App is exceptional! Easy to use and incredible partner for these great goggles,5,0,2.13.2,2023-06-26 07:24:07,2.13.2,GooglePlayStore,
85,"Tried to download the app multiple times, but it won't connect, just says pending.",1,0,2.0.4,2022-05-17 05:24:28,2.0.4,GooglePlayStore,
86,I enjoy swimming more because I can focus on listening to books to pass the time instead of trying to remember my lap number,5,0,1.4.0,2019-12-18 08:06:24,1.4.0,GooglePlayStore,
87,"Cannot download. Took 2+ hours and 6 attempts but now its downloaded thank you. Does the $35 ex delivery charge cover the inport duty into Colombia also, please?",3,1,1.10.0,2021-06-11 04:05:41,1.10.0,GooglePlayStore,
88,Accurate on lengths and time. Interesting to see the breakdowns as well,5,0,2.2.3,2022-01-21 21:15:34,2.2.3,GooglePlayStore,
89,"Essential for data nerds!! Easy to use and the workouts make my ""swimming"" make sense",5,0,2.1.2,2021-11-09 02:28:11,2.1.2,GooglePlayStore,
90,Amazing experience between the goggle and the app. Very highly recommended!,5,0,2.0.5,2021-10-10 20:40:49,2.0.5,GooglePlayStore,
91,"I gave 5 star just to keep the team motivated for the start, and I am just testing the app without the googles yet. I wanna switch from my Polar watch to this google, but where is the HeartRate zone/graph section...? I wanna buy this with HR only.",5,2,1.1.0,2019-09-05 12:40:53,1.1.0,GooglePlayStore,
92,"Fantastic training aid ... coach, mentor, educator, judge, jury & hangman!! Fantastic tool to have in the toolbox.",5,0,1.4.0,2020-02-09 12:33:01,1.4.0,GooglePlayStore,
93,"I get many ptoblem when try to connect with device , iget message "" you can not optimized on your device""",1,2,1.4.1,2020-02-15 21:28:14,1.4.1,GooglePlayStore,
94,Great app sync does take a couple of tries before it takes though.,4,1,1.9.0,2021-04-19 20:07:30,1.9.0,GooglePlayStore,
95,Great. Like to monitor rest time between repetitions.,5,0,2.9.1,2022-12-22 02:26:37,2.9.1,GooglePlayStore,
96,It's a great swim tool and great for doing solo workouts.,5,0,1.4.0,2019-12-22 00:39:19,1.4.0,GooglePlayStore,
97,"Love love love. I refuse to swim without my Form Swim Goggles. Workouts and stats, oh my!",5,0,2.0.5,2021-10-20 03:43:44,2.0.5,GooglePlayStore,
98,Great...had an issue connecting Garmin opened a ticket got it fixed in no time!,5,0,2.1.2,2021-11-11 22:56:53,2.1.2,GooglePlayStore,
99,It would be great to personalize the length of the pool in the next update because my condo pool is less than 25 metres.,5,2,1.1.0,2019-09-08 11:34:30,1.1.0,GooglePlayStore,
100,"Clear vision, easy to follow cues, great training plans",5,0,2.1.2,2021-12-08 07:40:55,2.1.2,GooglePlayStore,
101,Great Sports Tech. Waiting for the Open Water capability.,5,0,1.5.1,2020-06-28 19:30:37,1.5.1,GooglePlayStore,
102,"Excellent goggles, what a great device. I would highly recommend.",5,0,2.12.0,2023-04-14 14:40:07,2.12.0,GooglePlayStore,
103,unable to update the new googles first but it works after many trials and it is very good,5,0,1.4.0,2020-01-29 06:42:43,1.4.0,GooglePlayStore,
104,"What a great product, changed my swimming completely!",5,0,1.6.4,2020-08-04 06:40:35,1.6.4,GooglePlayStore,
105,"Would be 5 star, only.problrm that's a pain for me is that pool swims don't sync to Garmin account so you don't keep all your workouts in one place",3,0,2.9.1,2022-12-19 15:05:36,2.9.1,GooglePlayStore,
106,"Amazing Google !! Definitely a must have for swimming lovers for training, weightloss you name it !",5,0,2.7.0,2022-08-24 14:56:51,2.7.0,GooglePlayStore,
107,Amazing swim now that I have these goggles. I just recieved about a week ago been in pool everyday. Looking forward to tomorrow swim.,5,0,1.6.4,2020-08-23 04:44:40,1.6.4,GooglePlayStore,
108,"Works really well with the form goggles, which are great",4,0,1.7.2,2021-01-03 16:20:37,1.7.2,GooglePlayStore,
109,It helps identify my weaknesses and strengths in order to make intelligent decisions about my training,4,0,1.6.4,2020-08-24 19:33:39,1.6.4,GooglePlayStore,
110,Great app with lots of workouts to choose from,5,0,2.2.0,2021-12-09 13:20:02,2.2.0,GooglePlayStore,
111,Got me back in the pool!,5,0,3.2.3,2023-11-28 09:07:11,3.2.3,GooglePlayStore,
112,I want to look into buying but see that you don't support the Garmin Decent MK1 watch so can't download the data field. Are there plan to open this up to more watches?,3,0,,2020-08-02 15:49:37,,GooglePlayStore,
113,This is best device ever...information is power...all right here...I am very pleased,5,0,1.7.2,2021-01-07 09:25:49,1.7.2,GooglePlayStore,
114,Great app as stand alone or in addition to Garmin Connect,5,1,1.5.1,2020-05-29 00:56:48,1.5.1,GooglePlayStore,
115,Excellent representation of swim sets,5,0,1.7.2,2020-12-06 12:20:28,1.7.2,GooglePlayStore,
116,Excellent and fabulous app support,5,0,1.4.0,2020-02-11 07:04:08,1.4.0,GooglePlayStore,
117,I only wish for Galaxy watch support.,4,0,1.7.2,2021-01-16 17:28:03,1.7.2,GooglePlayStore,
118,Nice statistics and information,5,1,1.4.0,2020-01-27 05:11:11,1.4.0,GooglePlayStore,
119,I look forward to being able to create custom workouts.,4,0,2.6.0,2022-08-09 23:21:47,2.6.0,GooglePlayStore,
120,Works as it should everyday. It's excellent 👌,5,0,2.0.5,2021-10-19 02:01:12,2.0.5,GooglePlayStore,
121,By far the best fitness app ever.,5,0,2.12.0,2023-04-04 18:37:18,2.12.0,GooglePlayStore,
122,It's a great device and a quality app,5,0,2.4.0,2022-03-30 05:04:38,2.4.0,GooglePlayStore,
123,I love it!! The googles and app are a game changer!!,5,0,2.4.1,2022-05-12 00:44:49,2.4.1,GooglePlayStore,
124,These goggles are a game changer. I love 💘 them.,5,0,2.12.1,2023-04-29 12:36:54,2.12.1,GooglePlayStore,
125,The googles are great for indoor swimming.,5,0,1.4.0,2019-12-26 20:14:53,1.4.0,GooglePlayStore,
126,Great product. Great app,5,0,1.5.1,2020-07-14 11:52:20,1.5.1,GooglePlayStore,
127,Excellent improve my swimming,5,0,1.10.0,2021-06-25 23:48:47,1.10.0,GooglePlayStore,
128,Easy to use. Accurate.,5,0,1.8.0,2021-03-10 23:51:38,1.8.0,GooglePlayStore,
129,Best swimming app. Hands down.,5,0,2.7.1,2022-10-05 03:08:44,2.7.1,GooglePlayStore,
130,A must have tool for swimmers everywhere.,5,0,2.4.1,2022-05-26 17:48:15,2.4.1,GooglePlayStore,
131,Awesome! Love this new toy.,5,0,2.2.1,2021-12-22 03:13:16,2.2.1,GooglePlayStore,
132,Great support great product,5,0,1.5.1,2020-07-31 09:23:56,1.5.1,GooglePlayStore,
133,best goggles and app ever,5,0,1.3.0,2019-11-29 19:06:33,1.3.0,GooglePlayStore,
134,If Apple ever made swimming goggles would be like this.,5,0,1.9.0,2021-04-22 11:02:55,1.9.0,GooglePlayStore,
135,Game. Changer. A coach in your eye.,5,1,1.4.0,2020-01-05 01:09:29,1.4.0,GooglePlayStore,
136,Best ever I really enjoy it,5,0,2.6.0,2022-07-29 21:17:00,2.6.0,GooglePlayStore,
137,"Love my goggles, now swimming is fun",5,0,2.0.4,2021-09-05 09:52:35,2.0.4,GooglePlayStore,
138,This app has changed my swim.,5,0,1.6.4,2020-08-15 19:25:07,1.6.4,GooglePlayStore,
139,It's absolutely amazing,5,0,1.4.1,2020-02-28 03:18:04,1.4.1,GooglePlayStore,
140,Great for talking to LS,5,0,1.7.2,2021-01-02 04:19:47,1.7.2,GooglePlayStore,
141,Would you like to give me a free pair of goggles? ;););),5,0,1.2.1,2019-10-19 01:17:22,1.2.1,GooglePlayStore,
142,Expensive but worth it.,5,0,1.7.2,2020-12-15 20:35:33,1.7.2,GooglePlayStore,
143,It's a great app,5,0,1.10.0,2021-08-05 01:40:49,1.10.0,GooglePlayStore,
144,Awesome swimming partner,5,0,1.10.0,2021-08-24 05:05:14,1.10.0,GooglePlayStore,
145,Love the goggles,5,0,1.10.0,2021-06-18 07:06:37,1.10.0,GooglePlayStore,
146,Good,5,0,3.2.3,2023-11-14 07:36:37,3.2.3,GooglePlayStore,
147,Great,5,0,3.1.0,2023-10-17 20:43:52,3.1.0,GooglePlayStore,
148,Love it!,5,0,2.9.2,2023-02-01 16:31:18,2.9.2,GooglePlayStore,
149,Excellent,5,0,2.8.1,2022-10-25 07:27:18,2.8.1,GooglePlayStore,
150,Awesome,5,0,2.0.5,2021-09-29 04:39:10,2.0.5,GooglePlayStore,
151,Excellent,5,0,1.10.0,2021-08-24 20:06:09,1.10.0,GooglePlayStore,
152,Awesome technology,5,0,1.9.0,2021-04-19 11:59:38,1.9.0,GooglePlayStore,
153,Awesome possum 🏊 👓,5,0,1.7.2,2021-01-03 11:45:00,1.7.2,GooglePlayStore,
154,Amazing,5,0,1.6.4,2020-09-01 02:11:50,1.6.4,GooglePlayStore,
155,Fitness swimmer,5,0,1.3.0,2019-11-30 04:49:48,1.3.0,GooglePlayStore,
156,Saya mimpi Mengintai tirai kamar Amira Kota Kinabalu Pantai Jerudong Specialist Centre,5,0,,2022-03-23 07:30:26,,GooglePlayStore,
157,"I like sport gadgets, but usually 9 out of 10 times my enthusiasm ends in great disappointment. However, the Form swim goggles have by far exceeded my expectations - they simply work. All the features advertised work better than expected and the app is a solid companion of the goggles. If you want to focus on your swim and forget counting laps or looking up for your time, the Form swim goggles are the best solution. They are also for me personally one of the best fitting goggles I’ve ever used, but that might be different for others people. I am really grateful for the team having developed these goggles. I wish more people knew about them. They are now also sold in Europe, but I was able to order them from the US.
P. S. : last week I tried out the new open water feature after a firmware update. I connected my Form goggle with my Apple Watch series 4 and went for a first swim. Once again, it all worked as announced. Just as a suggestion, I really wish that the developers could use Apple Watch’s inbuilt compass to show the direction of my swim on the display too. It’s my only future feature request!",5,,,2020-08-04 11:07:47,,AppStore,Amazing! Now even better 😃
