Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Guzman, Emitza; Maalej, Walid; ",How do users like this feature? a fine grained sentiment analysis of app reviews,2014 IEEE 22nd international requirements engineering conference (RE),,,153-162,2014,Ieee
"Phong, Minh Vu; Nguyen, Tam The; Pham, Hung Viet; Nguyen, Tung Thanh; ",Mining user opinions in mobile app reviews: A keyword-based approach (t),2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),,,749-759,2015,IEEE
"Ahmed, Imran; Ahmad, Niall Safir; Ali, Shahnaz; Ali, Shair; George, Anju; Danish, Hiba Saleem; Uppal, Encarl; Soo, James; Mobasheri, Mohammad H; King, Dominic; ",Medication adherence apps: review and content analysis,JMIR mHealth and uHealth,6,3,e6432,2018,"JMIR Publications Inc., Toronto, Canada"
"Kaveladze, Benjamin T; Wasil, Akash R; Bunyi, John B; Ramirez, Veronica; Schueller, Stephen M; ","User experience, engagement, and popularity in mental health apps: secondary analysis of app analytics and expert app reviews",JMIR human factors,9,1,e30766,2022,"JMIR Publications Inc., Toronto, Canada"
