Unnamed: 0,date,review,rating,title,platform,thumbs_up_count,review_version,app_version,app
1845,2021-02-22 07:54:43,"I put my phone in a plastic bag to use this app. XD It's sleek and easy to use. I tried out the first 2 recommended workouts and liked them a lot, but now it won't generate any more and I don't have a subscription. Are there only 2 accessible workouts per mode without a subscription? Also some of the drill descriptions are hard to understand (in English). Not a huge problem but I'm not familiar with all the drills. (Edit: the videos are really helpful though!)",4,,GooglePlayStore,36.0,1.97,1.97,swimup
1846,2023-12-08 15:47:21,"The SwimUp app has helped me going to the pool regularly. Their personalized training plan is just right for me. Not too easy, not too hard so no need to look through endless lists of workout plans to find the right one.",5,,GooglePlayStore,3.0,2.0,2.0,swimup
1847,2023-12-15 01:41:12,"Personnal plan seems good at first glance but when I ask for 800m workout, it always give me training longer than 1k, up to 1.8km. Most of the workout in the personal plan seems to be a rearrangement of the existing training plans. Exporting to the Garmin watch is working but you have to use the Garmin app, it's a 2 steps process every time, no direct connection with the watch. (Edited, 800m issue was fixed)",4,,GooglePlayStore,0.0,2.0,2.0,swimup
1848,2021-12-11 01:35:19,"A lot of potential and probably the best of the kind in many aspects, including usability. But it is very limited and it seems development is completely stagnant. No option to remove workouts, restart program, increase workout duration/length or chose which equipment you have. Also doesn't export/import from Garmin or Polar. Very disappointed. It would have so much potential if it wasn't abandoned...",2,,GooglePlayStore,17.0,1.97,1.97,swimup
1849,2023-05-14 20:14:12,"The app is decent, I am using it, but the behavior in regards to sales is terrible, I have bought an yearly subscription at a very markdown price. Normally this should have locked in my subscription, instead I was refunded the money and forced to pay again because of new pricing. Buying a subscription means that it should be respected, if it was sold at a low price to gain customers, it means you made a conscious choice to loose money on initial marketing and leads.",3,,GooglePlayStore,15.0,1.98,1.98,swimup
1850,2021-08-31 19:00:30,"An excellent app. I've been following Swimup on YouTube since it was first created. Pin point error correction, solutions and excelent effective training ideas on adult swimming. Program includes all basic and all advance levels and END and SPRT modes with using tools where necessary. I made my subscription on 2021 August 1st. I took many private lessons and group work so far, but I have never had such a rapid and effective development until now. You must try, time is valuable.",5,,GooglePlayStore,21.0,1.97,1.97,swimup
1851,2023-06-28 22:18:50,"Subscription schemes to bleed customers dry ad infinitum are the only option offered to obtain the software's full functionality; there is no possibility to purchase the program once and for all. Consequently, this milkingware has been replaced with an alternative that can be bought instead of rented and was subsequently uninstalled.",2,,GooglePlayStore,1.0,,,swimup
1852,2023-11-29 02:23:41,The app is continuously stopping ..,1,,GooglePlayStore,1.0,2.0,2.0,swimup
1853,2021-07-20 11:35:49,"If only they got rid of those generic photos of that male swimmer from the start screen. And add some HD photos of Olympians, familiar faces for each category. This app would look immensely cleaner! Performance wise : the app won't save your work if you take a call or switch tabs from another app during your workout for some reason.",4,,GooglePlayStore,8.0,1.97,1.97,swimup
1854,2021-06-03 16:58:39,"Would rate five stars if we had the option to select what equipment is available to us and tailor the workouts around that. Ex: not swimming in a pool so unable to do exercises based on pushing off the wall, etc. Also would like to be able to select less than 250m and less than 20 min on the set up questionnaire for complete beginners.",4,,GooglePlayStore,14.0,1.97,1.97,swimup
1855,2020-10-01 12:20:17,"Very good content and presentation with clear explanations. The app experience could be a tiny bit more refined, but for what it does it's great. I use it in combination with Swim Coach.",4,,GooglePlayStore,8.0,1.97,1.97,swimup
1856,2021-07-22 21:40:58,Great swimming app. Just wish there were exercises for pull buoys and snorkel. Taking off a star and uninstalling because you can't choose which strokes you'd like to focus on or what equipment you have (I'd like pull buoy and snorkel exercises).,4,,GooglePlayStore,18.0,1.97,1.97,swimup
1857,2020-09-28 22:32:28,"Great app so far, I just wish there was a way to reset your training plan and swim stats. I accidentally completed a workout I hadn't done yet, just wish I could undo those stats. Otherwise the app is super simple and dummy proof!",5,,GooglePlayStore,28.0,1.97,1.97,swimup
1858,2020-09-17 19:30:45,"As a former swimmer with respectful results in junior competition in my country, i'm delighted by this phenomenal app! Now, i'm 33 years old and trying to rebuild my condition and maybe take part in veteran's competitions. This app is very helpful for me because it provides me daily with great workouts. Congratulations guys! One dilemma though - if i have for example 3x100m freestyle with 30 sec rest, does it means rest after each 100's or after i complete all 3? Thanks for answer in advance",5,,GooglePlayStore,14.0,1.97,1.97,swimup
1859,2023-10-13 05:10:28,"They are a great service to sort out what you might want to train up for in the swimming pool, the next thing I'd appreciate is if they could make some dry-land workout routines I could follow.",5,,GooglePlayStore,6.0,1.98,1.98,swimup
1860,2021-05-13 01:15:49,"For beginners who want to learn swim better with strictured plan and drills, this is the app! It helps me a lot of improving my swimming techniques in short of time. Thanks!",5,,GooglePlayStore,6.0,1.97,1.97,swimup
1861,2023-05-19 23:22:29,"Great suppport service. I was unable to use the app due to a mistaken ""connection issue"". They fixed it right away, and I'm now the happiest guy in the pool with my app.",5,,GooglePlayStore,9.0,1.98,1.98,swimup
1862,2022-12-16 04:24:44,"I wish I could print the exercises with more details. I started bringing my phone in a water bag and check the numbers in the pool, so I don't have to spend a lot of time memorizing them",4,,GooglePlayStore,2.0,1.98,1.98,swimup
1863,2023-07-11 20:29:39,"The app is a great resource! But I'm only interested in the material, and not the device tracking features as I don't have one. Is it possible to make a cheaper plan to get access to all the resources?",5,,GooglePlayStore,4.0,1.98,1.98,swimup
1864,2020-09-28 05:12:05,Absolutely loving it so far! I used to swim competitively and am now coming back to swimming as a form of working out. Exactly what I was looking for.,5,,GooglePlayStore,2.0,1.97,1.97,swimup
1865,2022-09-07 15:50:59,"Excellent content, but - you must adding option for Android watches. Like garnim watch ( as competitors have ) . You have a lot users like my, with Android phones / watches, and this feature is necessary for exercises into the pool. Thank you !!",4,,GooglePlayStore,3.0,1.98,1.98,swimup
1866,2023-09-23 02:53:08,Immediately impressed with the UI and build of the app. Excited to put in some work with this app.,5,,GooglePlayStore,3.0,1.98,1.98,swimup
1867,2020-04-03 14:27:27,"It's a superb app,covered up for all round skills and techniques...an easy way to improve with lesser time",5,,GooglePlayStore,13.0,1.95,1.95,swimup
1868,2020-06-16 23:08:56,Coooooool. I like it but please improvise the ability to download the clips and use them when offline,5,,GooglePlayStore,7.0,1.95,1.95,swimup
1869,2023-03-27 16:53:59,This app did not meet my expectation. I have unsubscribed within a day and I am unable to get the refund.,1,,GooglePlayStore,0.0,1.98,1.98,swimup
1870,2023-01-22 13:15:16,"Good videos with proper techniques, can we download videos if we take subscription of the app",4,,GooglePlayStore,0.0,1.98,1.98,swimup
1871,2020-06-26 19:23:36,It makes me feel like I have a one on one personal trainer. I love this app and have recommend it to my friends.,5,,GooglePlayStore,11.0,1.95,1.95,swimup
1872,2022-08-01 12:24:37,"Excellent application, helped me lot for learning and improving swimimg",5,,GooglePlayStore,0.0,1.97,1.97,swimup
1873,2021-06-25 15:34:49,"I make a subscription and app stop working , can't load anything eaven a free lesons",1,,GooglePlayStore,0.0,1.97,1.97,swimup
1874,2022-04-11 03:35:55,Easy to use. Step by step guidance. The videos are very helpful.,5,,GooglePlayStore,0.0,1.97,1.97,swimup
1875,2022-08-17 20:44:41,Greate app but It is not available for samsung galaxy watch 4 classic😥👎,3,,GooglePlayStore,0.0,1.97,1.97,swimup
1876,2023-08-01 07:21:26,The videod keep loading without opening,1,,GooglePlayStore,0.0,1.98,1.98,swimup
1877,2022-09-11 08:22:14,This app is awesome. They used a lot of effort to make this. Thank you very much,5,,GooglePlayStore,0.0,1.98,1.98,swimup
1878,2021-06-29 14:42:15,I wish they explain that it's not free I can access few examples only,3,,GooglePlayStore,1.0,1.97,1.97,swimup
1879,2022-04-18 14:02:06,Best app i came ever across . My only regret is why i didn't know about this earlier 😃.,5,,GooglePlayStore,0.0,1.97,1.97,swimup
1880,2021-06-05 22:52:17,Super nice app and free of cost go for this app🤗✌,5,,GooglePlayStore,0.0,1.97,1.97,swimup
1881,2023-09-12 20:18:55,great for every swimmer,5,,GooglePlayStore,0.0,1.98,1.98,swimup
1882,2020-07-20 00:03:51,Really helpful. Thanks,5,,GooglePlayStore,1.0,1.95,1.95,swimup
1883,2020-05-17 02:06:20,Its a very very nice app,5,,GooglePlayStore,3.0,1.95,1.95,swimup
1884,2020-07-08 18:55:38,Useful for us instructors,5,,GooglePlayStore,1.0,,,swimup
1885,2022-03-22 09:35:58,Perfect swimming Technics,5,,GooglePlayStore,0.0,,,swimup
1886,2020-10-20 22:57:32,Very nice app,5,,GooglePlayStore,1.0,,,swimup
1887,2020-11-24 01:47:15,I love this app,5,,GooglePlayStore,0.0,1.97,1.97,swimup
